station_id,longitude,latitude,time,avrcur
a2,3.119722,51.36166,2023-11-25T19:40:00Z,0.31
a2,3.119722,51.36166,2023-11-25T19:50:00Z,0.29
a2,3.119722,51.36166,2023-11-25T20:00:00Z,0.26
a2,3.119722,51.36166,2023-11-25T20:10:00Z,0.23
a2,3.119722,51.36166,2023-11-25T20:20:00Z,0.2
a2,3.119722,51.36166,2023-11-25T20:30:00Z,0.17
a2,3.119722,51.36166,2023-11-25T20:40:00Z,0.14
a2,3.119722,51.36166,2023-11-25T20:50:00Z,0.13
a2,3.119722,51.36166,2023-11-25T21:00:00Z,0.14
a2,3.119722,51.36166,2023-11-25T21:10:00Z,0.17
a2,3.119722,51.36166,2023-11-25T21:20:00Z,0.23
a2,3.119722,51.36166,2023-11-25T21:30:00Z,0.3
a2,3.119722,51.36166,2023-11-25T21:40:00Z,0.39
a2,3.119722,51.36166,2023-11-25T21:50:00Z,0.49
a2,3.119722,51.36166,2023-11-25T22:00:00Z,0.59
a2,3.119722,51.36166,2023-11-25T22:10:00Z,0.69
a2,3.119722,51.36166,2023-11-25T22:20:00Z,0.77
a2,3.119722,51.36166,2023-11-25T22:30:00Z,0.83
a2,3.119722,51.36166,2023-11-25T22:40:00Z,0.86
a2,3.119722,51.36166,2023-11-25T22:50:00Z,0.88
a2,3.119722,51.36166,2023-11-25T23:00:00Z,0.88
a2,3.119722,51.36166,2023-11-25T23:10:00Z,0.85
a2,3.119722,51.36166,2023-11-25T23:20:00Z,0.82
a2,3.119722,51.36166,2023-11-25T23:30:00Z,0.78
a2,3.119722,51.36166,2023-11-25T23:40:00Z,0.74
a2,3.119722,51.36166,2023-11-25T23:50:00Z,0.69
a2,3.119722,51.36166,2023-11-26T00:00:00Z,0.64
a2,3.119722,51.36166,2023-11-26T00:10:00Z,0.6
a2,3.119722,51.36166,2023-11-26T00:20:00Z,0.55
a2,3.119722,51.36166,2023-11-26T00:30:00Z,0.5
a2,3.119722,51.36166,2023-11-26T00:40:00Z,0.45
a2,3.119722,51.36166,2023-11-26T00:50:00Z,0.41
a2,3.119722,51.36166,2023-11-26T01:00:00Z,0.36
a2,3.119722,51.36166,2023-11-26T01:10:00Z,0.31
a2,3.119722,51.36166,2023-11-26T01:20:00Z,0.26
a2,3.119722,51.36166,2023-11-26T01:30:00Z,0.21
a2,3.119722,51.36166,2023-11-26T01:40:00Z,0.16
a2,3.119722,51.36166,2023-11-26T01:50:00Z,0.14
a2,3.119722,51.36166,2023-11-26T02:00:00Z,0.14
a2,3.119722,51.36166,2023-11-26T02:10:00Z,0.18
a2,3.119722,51.36166,2023-11-26T02:20:00Z,0.24
a2,3.119722,51.36166,2023-11-26T02:30:00Z,0.31
a2,3.119722,51.36166,2023-11-26T02:40:00Z,0.38
a2,3.119722,51.36166,2023-11-26T02:50:00Z,0.45
a2,3.119722,51.36166,2023-11-26T03:00:00Z,0.52
a2,3.119722,51.36166,2023-11-26T03:10:00Z,0.58
a2,3.119722,51.36166,2023-11-26T03:20:00Z,0.63
a2,3.119722,51.36166,2023-11-26T03:30:00Z,0.67
a2,3.119722,51.36166,2023-11-26T03:40:00Z,0.7
a2,3.119722,51.36166,2023-11-26T03:50:00Z,0.71
a2,3.119722,51.36166,2023-11-26T04:00:00Z,0.72
a2,3.119722,51.36166,2023-11-26T04:10:00Z,0.72
a2,3.119722,51.36166,2023-11-26T04:20:00Z,0.72
a2,3.119722,51.36166,2023-11-26T04:30:00Z,0.71
a2,3.119722,51.36166,2023-11-26T04:40:00Z,0.7
a2,3.119722,51.36166,2023-11-26T04:50:00Z,0.68
a2,3.119722,51.36166,2023-11-26T05:00:00Z,0.67
a2,3.119722,51.36166,2023-11-26T05:10:00Z,0.65
a2,3.119722,51.36166,2023-11-26T05:20:00Z,0.63
a2,3.119722,51.36166,2023-11-26T05:30:00Z,0.61
a2,3.119722,51.36166,2023-11-26T05:40:00Z,0.59
a2,3.119722,51.36166,2023-11-26T05:50:00Z,0.57
a2,3.119722,51.36166,2023-11-26T06:00:00Z,0.55
a2,3.119722,51.36166,2023-11-26T06:10:00Z,0.53
a2,3.119722,51.36166,2023-11-26T06:20:00Z,0.51
a2,3.119722,51.36166,2023-11-26T06:30:00Z,0.49
a2,3.119722,51.36166,2023-11-26T06:40:00Z,0.48
a2,3.119722,51.36166,2023-11-26T06:50:00Z,0.46
